ç
Município,ibge,latitude,longitude,"PIB per capita_1999 (R$)","PIB per capita_2000 (R$)","PIB per capita_2001 (R$)","PIB per capita_2002 (R$)","PIB per capita_2003 (R$)","PIB per capita_2004 (R$)","PIB per capita_2005 (R$)","PIB per capita_2006 (R$)","PIB per capita_2007 (R$)","PIB per capita_2008 (R$)","PIB per capita_2009 (R$)","PIB per capita_2010 (R$)","PIB per capita_2011 (R$)"
Chapada,4305306,-28.055900000000,-53.066499999990,5.794,7.579,9.936,10.815,15.808,13.533,10.420,14.653,17.924,20.047,19.753,22.565,25.402
Charqueadas,4305355,-29.962500000000,-51.628900000000,8.358,9.463,9.344,10.329,13.268,21.381,26.237,22.898,25.937,20.461,20.612,27.908,26.714
Charrua,4305371,-27.949300000000,-52.015000000000,3.633,4.587,5.309,5.630,9.071,8.032,5.681,8.685,11.655,13.101,12.724,15.046,16.922
Chiapetta,4305405,-27.922999999990,-53.941899999990,6.364,6.630,7.850,8.095,14.242,10.227,6.566,9.517,16.153,17.787,19.003,21.131,26.474
Chuí,4305439,-33.686599999990,-53.459400000000,12.203,8.380,8.518,11.260,10.703,11.306,14.715,13.060,22.506,25.039,25.866,27.238,28.943
Chuvisca,4305447,-30.750399999990,-51.973700000000,3.655,4.358,5.465,7.116,8.784,9.074,7.305,10.159,9.908,11.446,13.595,13.082,13.784
Cidreira,4305454,-30.160399999990,-50.233800000000,5.632,4.859,5.106,5.400,6.485,6.823,7.073,7.416,8.806,9.180,10.038,11.285,11.814
Ciríaco,4305504,-28.341899999990,-51.874099999990,3.982,4.558,5.980,7.526,10.217,8.606,7.834,11.351,12.704,15.066,13.759,17.369,21.762
Colinas,4305587,-29.381499999990,-51.852600000000,3.923,4.285,4.914,5.462,7.646,7.533,8.209,8.795,10.885,12.031,11.651,14.832,17.829
Colorado,4305603,-28.525800000000,-52.992800000000,8.518,8.058,12.110,12.621,20.037,16.769,12.470,15.955,21.997,24.908,25.021,25.071,30.609
Condor,4305702,-28.207500000000,-53.490499999990,7.755,7.596,10.664,11.128,16.750,14.890,11.077,15.149,20.028,22.399,24.529,25.821,29.110
Constantina,4305801,-27.731999999990,-52.993800000000,3.956,4.476,5.125,6.202,8.355,7.829,7.574,9.527,10.300,11.048,11.768,14.483,15.976
"Coqueiro Baixo",4305835,-29.172200000000,-52.098900000000,-,-,4.908,5.466,6.926,6.226,6.610,8.602,9.912,10.007,10.236,17.647,30.075
"Coqueiros do Sul",4305850,-28.119399999990,-52.784199999990,4.998,5.978,7.296,9.457,14.493,10.806,8.147,14.001,14.417,15.289,13.763,20.969,24.443
"Coronel Barros",4305871,-28.392199999990,-54.068600000000,6.432,5.458,7.766,8.988,15.094,11.584,8.216,12.083,15.697,17.958,17.064,19.079,23.371
"Coronel Bicaco",4305900,-27.719700000000,-53.702199999990,4.542,5.954,6.944,6.876,12.512,10.634,6.739,11.612,13.805,12.658,14.810,18.911,20.418
"Coronel Pilar",4305934,-29.268400000000,-51.687899999990,-,-,6.733,7.575,9.076,8.975,8.855,9.412,12.311,12.694,14.951,17.569,23.743
Cotiporã,4305959,-28.989100000000,-51.697099999990,4.268,4.798,6.200,7.059,8.881,9.952,10.340,12.309,12.515,13.360,18.800,25.986,27.334
Coxilha,4305975,-28.128000000000,-52.302300000000,9.945,10.143,12.470,16.054,27.452,17.201,8.619,19.924,23.788,28.803,26.780,29.452,35.042
Crissiumal,4306007,-27.499900000000,-54.099400000000,3.963,4.950,5.705,6.414,7.583,7.844,8.367,9.812,9.585,9.755,11.290,13.925,14.493
Cristal,4306056,-31.004600000000,-52.043599999990,3.758,3.857,4.615,5.389,6.547,7.648,6.640,7.680,8.484,10.321,12.316,13.488,14.157
"Cristal do Sul",4306072,-27.452000000000,-53.242199999990,3.581,4.571,4.895,5.306,8.039,7.269,6.151,8.343,9.151,9.780,8.677,12.660,13.232
"Cruz Alta",4306106,-28.645000000000,-53.604799999990,5.925,6.190,7.152,8.823,12.754,11.944,10.058,12.920,17.750,21.390,24.409,27.162,32.247
Cruzaltense,4306130,-27.664400000000,-52.649200000000,-,-,4.570,4.803,8.746,7.488,5.125,7.776,12.635,13.454,12.505,15.547,18.345
"Cruzeiro do Sul",4306205,-29.514800000000,-51.992800000000,4.046,5.048,5.540,6.163,7.433,8.288,8.269,9.442,11.649,11.332,12.353,15.217,17.384
"David Canabarro",4306304,-28.384899999990,-51.848199999990,4.612,5.475,6.117,7.082,7.983,8.606,7.315,11.042,13.258,16.212,15.688,18.215,20.181
Derrubadas,4306320,-27.264199999990,-53.864500000000,3.465,4.410,5.720,5.978,8.326,7.828,6.970,9.066,11.980,12.602,12.094,14.879,17.565
"Dezesseis de Novembro",4306353,-28.219000000000,-55.061700000000,2.873,3.053,3.639,4.120,5.025,5.325,5.994,7.551,8.285,9.232,10.132,12.042,11.446
"Dilermando de Aguiar",4306379,-29.705400000000,-54.212200000000,4.559,5.102,5.953,6.060,6.822,8.911,6.929,9.562,12.344,15.884,14.738,19.767,21.229
"Dois Irmãos",4306403,-29.583600000000,-51.089799999990,12.345,12.487,13.967,15.879,16.286,17.615,16.406,16.067,18.954,18.997,21.509,25.805,26.327
"Dois Irmãos das Missões",4306429,-27.662099999990,-53.530400000000,5.206,7.651,10.032,9.333,16.639,14.102,8.719,16.373,19.481,18.314,19.753,25.978,31.516
"Dois Lajeados",4306452,-28.983000000000,-51.839599999990,4.099,5.057,6.729,6.967,9.759,10.778,10.283,13.185,16.958,16.117,16.220,21.148,25.838
"Dom Feliciano",4306502,-30.700399999990,-52.102600000000,3.393,4.028,4.901,5.143,6.291,7.351,6.681,7.411,7.815,8.993,10.220,11.831,11.644
"Dom Pedrito",4306601,-30.975600000000,-54.669400000000,6.854,5.570,7.220,8.648,10.369,11.966,9.541,10.079,12.198,15.533,17.752,18.924,18.803
"Dom Pedro de Alcântara",4306551,-29.363900000000,-49.853000000000,2.598,2.671,2.961,3.524,4.311,4.689,5.153,5.546,6.159,8.661,7.538,11.824,11.551
"Dona Francisca",4306700,-29.619499999990,-53.361699999990,4.450,4.590,4.996,5.569,7.240,8.159,7.015,7.775,9.189,10.469,11.402,12.694,14.521
"Doutor Maurício Cardoso",4306734,-27.510300000000,-54.357799999990,4.619,4.823,5.744,7.365,10.797,9.925,7.732,10.619,14.228,15.399,16.428,18.646,21.509
