"Município","ibge","latitude","longitude","/Transportes/Número de Acidentes Fatais/Total 2007 (-)","/Transportes/Número de Acidentes Fatais/Total 2008 (-)","/Transportes/Número de Acidentes Fatais/Total 2009 (-)","/Transportes/Número de Acidentes Fatais/Total 2010 (-)","/Transportes/Número de Acidentes Fatais/Total 2011 (-)","/Transportes/Número de Acidentes Fatais/Total 2012 (-)","/Transportes/Número de Acidentes Fatais/Total 2013 (-)"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","1","3","2","4","4","6","6"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","6","11","6","15","10","8","14"
"Ijuí","4310207","-28.388100000000","-53.920000000000","8","11","17","14","18","22","10"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","1","-","-","-","1","1","-"
"Imbé","4310330","-29.975300000000","-50.128100000000","6","4","5","5","2","4","4"
"Imigrante","4310363","-29.350800000000","-51.774700000000","1","1","-","-","-","2","-"
"Independência","4310405","-27.835400000000","-54.188600000000","1","1","-","1","1","3","1"
"Inhacorá","4310413","-27.875200000000","-54.015000000000","-","-","-","1","-","-","1"
"Ipê","4310439","-28.817100000000","-51.285899999990","1","4","6","5","2","1","6"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","-","1","1","-","1","-","-"
"Iraí","4310504","-27.195100000000","-53.254300000000","-","2","3","1","1","4","1"
"Itaara","4310538","-29.601299999990","-53.772500000000","1","-","2","2","3","1","3"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","-","-","1","-","-","-","2"
"Itapuca","4310579","-28.776800000000","-52.169300000000","1","-","-","1","-","1","1"
"Itaqui","4310603","-29.131000000000","-56.551499999990","2","6","2","9","2","5","6"
"Itati","4310652","-29.488320000000","-50.113579999990","1","1","1","-","2","1","2"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","-","-","-","1","-","-","1"
"Ivorá","4310751","-29.523199999990","-53.584200000000","-","-","1","-","-","-","-"
"Ivoti","4310801","-29.599499999990","-51.153300000000","4","2","2","5","7","3","4"
"Jaboticaba","4310850","-27.634699999990","-53.276200000000","-","1","1","1","-","1","2"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","-","1","1","1","2","-","1"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","2","3","4","5","2","1","2"
"Jaguari","4311106","-29.493600000000","-54.703000000000","-","3","3","2","5","3","1"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","-","-","-","1","-","1","-"
"Jari","4311130","-29.292200000000","-54.223700000000","-","1","-","-","-","-","-"
"Jóia","4311155","-28.643500000000","-54.114100000000","1","1","1","2","-","-","1"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","6","3","4","7","2","4","5"
"Lagoa Bonita do Sul","4311239","-29.488199999990","-53.013800000000","-","1","-","-","-","-","-"
"Lagoa dos Três Cantos","4311270","-28.567599999990","-52.861800000000","1","1","-","-","1","-","-"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","7","3","6","9","4","9","5"
"Lagoão","4311254","-29.234800000000","-52.799700000000","1","-","-","-","-","-","-"
"Lajeado","4311403","-29.459099999990","-51.964399999990","23","29","20","8","21","16","19"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","-","-","1","-","1","1","1"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","-","-","-","3","-","1","1"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","-","1","1","-","-","-","-"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","-","-","-","1","-","3","-"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","-","1","-","-","-","-","-"
"Maçambará","4311718","-29.144500000000","-56.067399999990","-","-","-","-","1","-","1"
"Machadinho","4311700","-27.566700000000","-51.666800000000","2","-","-","-","1","1","1"
"Mampituba","4311734","-29.213600000000","-49.931100000000","-","-","-","-","-","1","-"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","1","-","1","-","1","3","-"
"Maquiné","4311775","-29.679800000000","-50.207900000000","4","6","4","6","6","2","4"
"Maratá","4311791","-29.545700000000","-51.557299999990","1","-","1","-","-","-","1"
"Marau","4311809","-28.449800000000","-52.198599999990","7","8","9","9","9","7","5"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","3","-","2","1","-","1","1"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","-","3","-","1","-","-","-"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","-","-","-","-","1","-","-"
"Marques de Souza","4312054","-29.331099999990","-52.097299999990","-","-","3","3","5","1","5"
"Mata","4312104","-29.564900000000","-54.464100000000","1","-","-","1","-","2","1"
"Mato Castelhano","4312138","-28.280000000000","-52.193199999990","1","2","1","1","-","4","-"
"Mato Leitão","4312153","-29.528500000000","-52.127800000000","2","1","-","1","1","1","1"
"Mato Queimado","4312179","-28.247500000000","-54.619199999990","-","1","1","1","1","-","-"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","1","1","1","-","1","3","-"
"Minas do Leão","4312252","-30.134599999990","-52.042299999990","-","-","1","1","2","2","3"
"Miraguaí","4312302","-27.497000000000","-53.689100000000","2","2","1","-","4","3","-"
"Montauri","4312351","-28.646200000000","-52.076700000000","-","-","-","1","-","-","-"
"Monte Alegre dos Campos","4312377","-28.680499999990","-50.783400000000","1","-","1","-","1","-","-"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","-","-","-","-","-","1","1"
"Montenegro","4312401","-29.682400000000","-51.467900000000","19","18","17","12","19","20","12"
"Mormaço","4312427","-28.696800000000","-52.699900000000","-","-","-","-","1","2","1"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","-","1","-","-","1","1","-"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","2","1","-","1","1","3","3"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","2","1","-","-","3","2","3"
"Mostardas","4312500","-31.105399999990","-50.916699999990","1","-","-","6","4","5","2"
"Muçum","4312609","-29.163000000000","-51.871400000000","2","3","1","3","-","1","2"
"Muitos Capões","4312617","-28.313199999990","-51.183599999990","1","1","3","-","1","2","1"
"Muliterno","4312625","-28.325299999990","-51.769700000000","1","-","-","-","-","-","-"
"Não-Me-Toque","4312658","-28.454799999990","-52.818199999990","3","3","-","9","4","7","5"
"Nicolau Vergueiro","4312674","-28.529800000000","-52.467599999990","-","-","-","-","-","1","1"
"Nonoai","4312708","-27.368900000000","-52.775599999990","1","5","2","-","3","6","8"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","-","-","-","2","-","-","1"
"Nova Araçá","4312807","-28.653700000000","-51.745800000000","3","-","1","-","-","-","1"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","2","3","3","4","5","4","2"
"Nova Bréscia","4313003","-29.218200000000","-52.031900000000","-","1","-","1","-","1","-"
"Nova Candelária","4313011","-27.613700000000","-54.107399999990","1","-","-","1","-","-","-"
"Nova Esperança do Sul","4313037","-29.406600000000","-54.829300000000","1","2","-","-","-","-","-"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","2","3","4","6","3","3","3"
"Nova Pádua","4313086","-29.027500000000","-51.309800000000","-","1","-","-","-","-","-"
